author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
AlexLeonov,23-05-15,AlexLeonov,+1,8430969,00:08,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,AlexLeonov,0,8430841,22:38,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,neolink,+1,8431013,01:10,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,AlexLeonov,+1,8431293,15:39,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,DmitryKoterov,0,8431303,16:00,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,AlexLeonov,0,8431307,16:02,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,neolink,+1,8431387,18:01,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,DmitryKoterov,0,8431575,02:10,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,igordata,+37,8430583,19:04,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,ZoomLS,0,8430711,20:48,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,vimruler,+5,8430621,19:38,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,AlexLeonov,–2,8430859,22:59,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
